Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
9;81069;Economia / Filosofia (Simultaneïtat);UdG;Girona;10;7,24;0,1;0,1;0,2;0,1;0,1;;;;;0,2;0,2;0,2;0,2;;;0,2;;;;0,2;0,2;0,2;0,2;0,2;0,2;;
6;11013;Educació Infantil;UB;Barcelona;180;8,84;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;21016;Educació Infantil;UAB;Cerdanyola del Vallès;130;9,109;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;61011;Educació Infantil;UdL;Lleida;90;5;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;81017;Educació Infantil;UdG;Girona;80;8,148;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;71010;Educació Infantil;URV;Tarragona;80;7,874;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;71029;Educació Infantil (Tortosa);URV;Tortosa;40;5;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;71034;Educació Infantil (El Vendrell);URV;el Vendrell;40;7,787;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;91008;Educació Infantil;UVic-UCC;Vic;70;5;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
6;91038;Educació Infantil (Campus Manresa);UVic-UCC;Manresa;50;5;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
7;11072;Educació Infantil / Educació Primària (5 anys) (Simultaneïtat);UB;Barcelona;40;10,71;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
7;21111;Educació Infantil / Educació Primària (5 anys) (Simultaneïtat);UAB;Cerdanyola del Vallès;20;10,693;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
7;61037;Educació Infantil / Educació Primària (5 anys) (Simultaneïtat);UdL;Lleida;35;8,82;0,2;0,2;0,2;0,2;0,2;0,2;;;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;;
